# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:P'
# Event count (approx.): 15783509527
#
# Overhead  Command       Shared Object     Symbol                                                                                                                                                                                                  
# ........  ............  ................  ........................................................................................................................................................................................................
#
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff85080f6a
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8603a6d1
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85f2e015
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8508ea36
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8623a4c8
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffffc0fdb417
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff860365f8
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff86239b89
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8623a425
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff861f1945
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff86225225
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8602b11c
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8519f45f
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8600a0f5
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff860114df
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff851965fa
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff860236f2
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff86001802
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff86017bb5
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff85f273d9
     0.07%  frankenredis  [unknown]         [k] 0xffffffff851a04c5
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8519660e
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffffc0fdbeb0
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8506c86c
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85326b49
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85f2b96f
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff85f02a63
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff8623a6a7
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8602f461
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8547fa36
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff86017d20
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff8508352a
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffffc0fdbeb5
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff851a2a03
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff84f23444
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff85ef183b
     0.07%  fr-writer-0   [unknown]         [k] 0xffffffff85838ec8
     0.07%  fr-writer-1   [unknown]         [k] 0xffffffff86023707
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffffc0817606
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff850b6871
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff86034860
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8602fab9
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff86011dd6
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff860118d3
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8600a176
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff85160009
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff85eff3e3
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8601149b
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffffc08551bd
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff85091576
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8547fa59
     0.06%  frankenredis  [unknown]         [k] 0xffffffff85459915
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8571c0e7
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff850875bf
     0.06%  frankenredis  [unknown]         [k] 0xffffffff85f0cb77
     0.06%  frankenredis  [vdso]            [.] 0x0000000000000994
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8602f6bd
     0.06%  frankenredis  [unknown]         [k] 0xffffffff851a2b34
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff853ec3ef
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff8603f925
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff8623a42d
     0.06%  fr-writer-1   [unknown]         [k] 0xffffffff85717a56
     0.06%  fr-writer-0   [unknown]         [k] 0xffffffff853ec2a1
