# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11K of event 'cycles:P'
# Event count (approx.): 11254857444
#
# Overhead  Shared Object     Symbol                                                                                                                                                                                                                                                           IPC   [IPC Coverage]
# ........  ................  ...............................................................................................................................................................................................................................................................  ....................
#
     0.04%  [unknown]         [k] 0xffffffffc0816010                                                                                                                                                                                                                                           -      -
     0.04%  [unknown]         [k] 0xffffffffc0fdd07b                                                                                                                                                                                                                                           -      -
     0.04%  frankenredis      [.] <u8 as core::fmt::Display>::fmt                                                                                                                                                                                                                              -      -
     0.04%  [unknown]         [k] 0xffffffff8602f1d0                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff8602b0c5                                                                                                                                                                                                                                           -      -
     0.03%  [vdso]            [.] 0x00000000000009b8                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff8620d91e                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff86229e6b                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff85087523                                                                                                                                                                                                                                           -      -
     0.03%  [vdso]            [.] 0x000000000000094d                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffffc0816f67                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff84c01248                                                                                                                                                                                                                                           -      -
     0.03%  [unknown]         [k] 0xffffffff860112d6                                                                                                                                                                                                                                           -      -
     0.03%  frankenredis      [.] fr_command::parse_client_reply_action                                                                                                                                                                                                                        -      -
     0.03%  frankenredis      [.] <fr_runtime::ClientSession as core::clone::Clone>::clone                                                                                                                                                                                                     -      -
     0.03%  [unknown]         [k] 0xffffffff850c9fb7                                                                                                                                                                                                                                           -      -
     0.03%  frankenredis      [.] fr_store::estimate_sds_allocation_bytes                                                                                                                                                                                                                      -      -
     0.03%  [unknown]         [k] 0xffffffff85eeb84d                                                                                                                                                                                                                                           -      -
     0.03%  frankenredis      [.] <core::net::socket_addr::SocketAddr as core::fmt::Display>::fmt                                                                                                                                                                                              -      -
     0.03%  [unknown]         [k] 0xffffffff84c00005                                                                                                                                                                                                                                           -      -
     0.03%  frankenredis      [.] <alloc::raw_vec::RawVec<usize>>::grow_one                                                                                                                                                                                                                    -      -
